session_id,participant_id,visit_no,interval_from_first_days,device_id,camera_model,app_version,resolution,target_fps,distance_cm,light_lux,room_condition,glasses,human_subject_data
P036-S1,P036,1,0,PI-CAM-01,Raspberry Pi Camera Module 3,pibefast-demo-v1,1280x720,15,61.1,318,indoor_controlled_simulated,habitual_clear,true
P036-S2,P036,2,7,PI-CAM-01,Raspberry Pi Camera Module 3,pibefast-demo-v1,1280x720,15,54.3,499,indoor_controlled_simulated,habitual_clear,true
P036-S3,P036,3,14,PI-CAM-01,Raspberry Pi Camera Module 3,pibefast-demo-v1,1280x720,15,61.6,385,indoor_controlled_simulated,habitual_clear,true
P036-S4,P036,4,21,PI-CAM-01,Raspberry Pi Camera Module 3,pibefast-demo-v1,1280x720,15,60.7,398,indoor_controlled_simulated,habitual_clear,true
P036-S5,P036,5,28,PI-CAM-01,Raspberry Pi Camera Module 3,pibefast-demo-v1,1280x720,15,59.4,401,indoor_controlled_simulated,habitual_clear,true
P037-S1,P037,1,1,PI-CAM-01,Raspberry Pi Camera Module 3,pibefast-demo-v1,1280x720,15,56.2,457,indoor_controlled_simulated,none,true
P037-S2,P037,2,8,PI-CAM-01,Raspberry Pi Camera Module 3,pibefast-demo-v1,1280x720,15,59.7,429,indoor_controlled_simulated,none,true
P037-S3,P037,3,15,PI-CAM-01,Raspberry Pi Camera Module 3,pibefast-demo-v1,1280x720,15,62.6,435,indoor_controlled_simulated,none,true
P037-S4,P037,4,22,PI-CAM-01,Raspberry Pi Camera Module 3,pibefast-demo-v1,1280x720,15,58.5,464,indoor_controlled_simulated,none,true
P037-S5,P037,5,29,PI-CAM-01,Raspberry Pi Camera Module 3,pibefast-demo-v1,1280x720,15,56.1,334,indoor_controlled_simulated,none,true
P038-S1,P038,1,2,PI-CAM-01,Raspberry Pi Camera Module 3,pibefast-demo-v1,1280x720,15,66.9,326,indoor_controlled_simulated,none,true
P038-S2,P038,2,9,PI-CAM-01,Raspberry Pi Camera Module 3,pibefast-demo-v1,1280x720,15,57.1,291,indoor_controlled_simulated,none,true
P038-S3,P038,3,16,PI-CAM-01,Raspberry Pi Camera Module 3,pibefast-demo-v1,1280x720,15,63.1,452,indoor_controlled_simulated,none,true
P038-S4,P038,4,23,PI-CAM-01,Raspberry Pi Camera Module 3,pibefast-demo-v1,1280x720,15,57.3,496,indoor_controlled_simulated,none,true
P038-S5,P038,5,30,PI-CAM-01,Raspberry Pi Camera Module 3,pibefast-demo-v1,1280x720,15,60.5,482,indoor_controlled_simulated,none,true
P039-S1,P039,1,3,PI-CAM-01,Raspberry Pi Camera Module 3,pibefast-demo-v1,1280x720,15,59.8,395,indoor_controlled_simulated,none,true
P039-S2,P039,2,10,PI-CAM-01,Raspberry Pi Camera Module 3,pibefast-demo-v1,1280x720,15,63.1,435,indoor_controlled_simulated,none,true
P039-S3,P039,3,17,PI-CAM-01,Raspberry Pi Camera Module 3,pibefast-demo-v1,1280x720,15,57.7,274,indoor_controlled_simulated,none,true
P039-S4,P039,4,24,PI-CAM-01,Raspberry Pi Camera Module 3,pibefast-demo-v1,1280x720,15,60,363,indoor_controlled_simulated,none,true
P039-S5,P039,5,31,PI-CAM-01,Raspberry Pi Camera Module 3,pibefast-demo-v1,1280x720,15,61.7,436,indoor_controlled_simulated,none,true
P040-S1,P040,1,4,PI-CAM-01,Raspberry Pi Camera Module 3,pibefast-demo-v1,1280x720,15,60.1,449,indoor_controlled_simulated,habitual_clear,true
P040-S2,P040,2,11,PI-CAM-01,Raspberry Pi Camera Module 3,pibefast-demo-v1,1280x720,15,50.8,439,indoor_controlled_simulated,habitual_clear,true
P040-S3,P040,3,18,PI-CAM-01,Raspberry Pi Camera Module 3,pibefast-demo-v1,1280x720,15,64.1,522,indoor_controlled_simulated,habitual_clear,true
P040-S4,P040,4,25,PI-CAM-01,Raspberry Pi Camera Module 3,pibefast-demo-v1,1280x720,15,63.3,263,indoor_controlled_simulated,habitual_clear,true
P040-S5,P040,5,32,PI-CAM-01,Raspberry Pi Camera Module 3,pibefast-demo-v1,1280x720,15,57.1,690,indoor_controlled_simulated,habitual_clear,true
